"alA_l","alpha_aux_l","alrhoA_g","alrhoA_l","alrhoEA_g","alrhoEA_l","alrhouA_g","alrhouA_l","area_aux","density_aux_g","density_aux_l","internal_energy_aux_g","internal_energy_aux_l","mach_aux_g","mach_aux_l","pressure_aux_g","pressure_aux_l","total_energy_aux_g","total_energy_aux_l","velocity_x_aux_g","velocity_x_aux_l","GlobalNodeId","PedigreeNodeId","Points:0","Points:1","Points:2"
0.899992,0.899992,0.100008,89.9992,5500.43,674994,10.0008,8999.92,1,1,100,50000,250000,0.182574,2.67261,100000,100000,55000,750000,100,100,35,35,0.136,0,0
0.899993,0.899993,0.100007,89.9993,5500.41,674994,10.0007,8999.93,1,1,100,50000,250000,0.182574,2.67261,100000,100000,55000,750000,100,100,36,36,0.14,0,0
0.900022,0.900022,0.0999781,90.0022,5498.79,675016,9.99781,9000.22,1,1,100,50000,250000,0.182574,2.67261,100000,100000,55000,750000,100,100,37,37,0.144,0,0
0.899966,0.899966,0.100034,89.9966,5501.86,674975,10.0034,8999.66,1,1,100,50000,250000,0.182574,2.67261,100000,100000,55000,750000,100,100,38,38,0.148,0,0
0.900041,0.900041,0.0999588,90.0041,5497.73,675031,9.99588,9000.41,1,1,100,50000,250000,0.182574,2.67261,100000,100000,55000,750000,100,100,39,39,0.152,0,0
0.899957,0.899957,0.100043,89.9957,5502.36,674968,10.0043,8999.57,1,1,100,50000,250000,0.182574,2.67261,100000,100000,55000,750000,100,100,40,40,0.156,0,0
0.900038,0.900038,0.0999619,90.0038,5497.9,675029,9.99619,9000.38,1,1,100,50000,250000,0.182574,2.67261,100000,100000,55000,750000,100,100,41,41,0.16,0,0
0.899973,0.899973,0.100027,89.9973,5501.51,674979,10.0027,8999.73,1,1,100,50000,250000,0.182574,2.67261,100000,100000,55000,750000,100,100,42,42,0.164,0,0
0.900012,0.900012,0.0999877,90.0012,5499.32,675009,9.99877,9000.12,1,1,100,50000,250000,0.182574,2.67261,100000,100000,55000,750000,100,100,43,43,0.168,0,0
0.900005,0.900005,0.0999947,90.0005,5499.71,675004,9.99947,9000.05,1,1,100,50000,250000,0.182574,2.67261,100000,100000,55000,750000,100,100,44,44,0.172,0,0
