"beta_max_aux","beta_aux","PI_aux","PI_bar_aux","rhoI_aux","tempI_aux","P_rel_aux","vel_rel_aux","Omega_aux","Aint_aux","ht_liq_aux","ht_gas_aux","EI_liq_aux","EI_gas_aux","mu_max_aux_l","kappa_max_aux_l","mu_aux_l","kappa_aux_l","jump_grad_press_aux_l","jump_grad_alpha_aux_l","jump_grad_dens_aux_l","smooth_jump_grad_press_aux_l","smooth_jump_grad_dens_aux_l","mu_max_aux_g","kappa_max_aux_g","mu_aux_g","kappa_aux_g","jump_grad_press_aux_g","jump_grad_dens_aux_g","smooth_jump_grad_press_aux_g","smooth_jump_grad_dens_aux_g","ObjectId","GlobalElementId","PedigreeElementId"
0.0803195,0.00266856,987711,995532,901.383,452.97,5.80736e-05,111909,0,84.7083,0,0,766226,2.70379e+06,0.08067,8.15792,0.000106766,0.000106766,36811.4,0.0370128,0.00597747,37113,0.0065964,0.0954697,2.78508,0.00228535,0.00228535,45501.3,0.171453,42619.5,0.160884,0,1,1
0.0810783,0.00268488,981784,989110,901.375,452.972,5.85053e-05,112105,0,85.3374,0,0,766233,2.70379e+06,0.0813961,8.15866,0.000322066,0.000322066,37414.6,0.0358035,0.00721532,55798.9,0.0104622,0.0953373,2.78272,0.00276802,0.00276802,39737.7,0.150315,61085.9,0.230621,0,2,2
0.0818942,0.00271384,976188,983084,901.368,452.973,5.88903e-05,112242,0,85.8984,0,0,766240,2.70379e+06,0.0821816,8.15945,0.000541579,0.000541579,37328.7,0.0334173,0.00824802,37412.8,0.00825555,0.0953758,2.78063,0.00328785,0.00328785,34127.9,0.128635,34301.9,0.129307,0,3,3
0.0827717,0.0027563,970870,977398,901.362,452.973,5.92329e-05,112326,0,86.3975,0,0,766247,2.7038e+06,0.083031,8.16031,0.000765816,0.000765816,37579.4,0.0310471,0.00931082,37508.4,0.0092446,0.0955835,2.77881,0.00381462,0.00381462,29214.1,0.109642,29234.6,0.109773,0,4,4
0.083716,0.0028138,965786,972002,901.356,452.974,5.95371e-05,112360,0,86.8406,0,0,766253,2.7038e+06,0.0839492,8.16124,0.000995323,0.000995323,37546.1,0.0287958,0.0101087,37650.7,0.0101311,0.0959593,2.77723,0.00438066,0.00438066,24382.4,0.0911719,24525.1,0.0917118,0,5,5
0.0847323,0.00288579,960893,966849,901.35,452.975,5.98066e-05,112347,0,87.233,0,0,766259,2.70381e+06,0.0849414,8.16223,0.0012307,0.0012307,37931,0.0265832,0.0109962,37884.8,0.0109438,0.0965035,2.77589,0.00495907,0.00495907,20121.4,0.0748618,20128.2,0.0749261,0,6,6
0.0858262,0.00297493,956150,961896,901.344,452.975,6.00447e-05,112292,0,87.5797,0,0,766265,2.70381e+06,0.086013,8.16331,0.0014726,0.0014726,38131,0.0244949,0.011674,38256.5,0.0117121,0.0972168,2.77478,0.00558023,0.00558023,15887.4,0.0588089,16003.2,0.0592367,0,7,7
0.0870037,0.00307938,951519,957101,901.339,452.976,6.02545e-05,112197,0,87.8851,0,0,766271,2.70382e+06,0.08717,8.16447,0.00172171,0.00172171,38832.9,0.0224549,0.0125045,38810.5,0.0124639,0.0981016,2.77387,0.00622008,0.00622008,12116.4,0.0444674,12110.9,0.0444734,0,8,8
0.0882712,0.00320299,946964,952426,901.335,452.976,6.04389e-05,112063,0,88.1535,0,0,766277,2.70382e+06,0.0884185,8.16572,0.00197876,0.00197876,39445.1,0.0205326,0.0131728,39593.1,0.0132278,0.0991606,2.77318,0.00690746,0.00690746,8323.49,0.0301501,8416.02,0.0304822,0,9,9
0.0896354,0.0033428,942450,947834,901.33,452.976,6.06005e-05,111893,0,88.3886,0,0,766283,2.70383e+06,0.0897651,8.16707,0.00224457,0.00224457,40649.1,0.0186591,0.0140612,40650.6,0.0140307,0.100398,2.77268,0.00762087,0.00762087,4900.75,0.0171613,4884.45,0.0171163,0,10,10
0.0911031,0.00350382,937943,943289,901.326,452.976,6.07418e-05,111687,0,88.594,0,0,766288,2.70383e+06,0.0912168,8.16852,0.00251999,0.00251999,41859,0.0168883,0.0148273,42032.6,0.0149008,0.101819,2.77237,0.00838801,0.00838801,1412.82,0.00399267,2775.05,0.00934983,0,11,11
0.092682,0.00368219,933411,938758,901.322,452.976,6.08648e-05,111447,0,88.7728,0,0,766294,2.70384e+06,0.0927809,8.17009,0.00280596,0.00280596,43763.4,0.0151604,0.0158872,43790.3,0.015865,0.103429,2.77224,0.00918966,0.00918966,3373.82,0.0122527,3311.76,0.0123011,0,12,12
0.0943798,0.00388401,928822,934208,901.318,452.976,6.09718e-05,111174,0,88.9281,0,0,766300,2.70384e+06,0.0944653,8.17177,0.00310333,0.00310333,45775.4,0.0135152,0.0168583,45979.5,0.0169529,0.105236,2.7723,0.0100528,0.0100528,5086.56,0.0207062,5428.57,0.0215469,0,13,13
0.0962049,0.0041047,924145,929607,901.315,452.976,6.10645e-05,110868,0,89.0627,0,0,766305,2.70385e+06,0.0962783,8.17358,0.00341304,0.00341304,48603.8,0.0119024,0.0182078,48659.4,0.0181927,0.107247,2.77253,0.0109602,0.0109602,8167.35,0.0325225,8201.77,0.0326529,0,14,14
0.0981661,0.00435145,919349,924923,901.311,452.976,6.11449e-05,110529,0,89.1792,0,0,766311,2.70386e+06,0.0982286,8.17553,0.0037361,0.0037361,51654.4,0.0103493,0.0194969,51896,0.0196168,0.109472,2.77294,0.0119384,0.0119384,11385.8,0.0448605,11345.6,0.0447448,0,15,15
