"beta_max_aux","beta_aux","PI_aux","PI_bar_aux","rhoI_aux","tempI_aux","P_rel_aux","vel_rel_aux","Omega_aux","Aint_aux","ht_liq_aux","ht_gas_aux","EI_liq_aux","EI_gas_aux","mu_max_aux_l","kappa_max_aux_l","mu_aux_l","kappa_aux_l","jump_grad_press_aux_l","jump_grad_alpha_aux_l","jump_grad_dens_aux_l","smooth_jump_grad_press_aux_l","smooth_jump_grad_dens_aux_l","mu_max_aux_g","kappa_max_aux_g","mu_aux_g","kappa_aux_g","jump_grad_press_aux_g","jump_grad_dens_aux_g","smooth_jump_grad_press_aux_g","smooth_jump_grad_dens_aux_g","ObjectId","GlobalElementId","PedigreeElementId"
0.38728,0.0664868,84490.9,84141.7,900.95,452.779,0.000458354,106004,0,667.071,0,0,768280,2.70637e+06,0.387489,8.46304,0.0254511,0.0254511,959015,0.104489,0.54658,975798,0.553041,0.382014,2.2748,0.0912234,0.0912234,371805,2.47788,375453,2.41052,0,74,74
0.383847,0.052096,89261.5,87755.8,900.946,452.783,0.000451223,108074,0,656.71,0,0,768245,2.70633e+06,0.383992,8.45958,0.0245281,0.0245281,1.27928e+06,0.136292,0.677049,1.30687e+06,0.666089,0.361209,2.26713,0.144015,0.144015,513297,2.97617,519633,2.90061,0,75,75
0.376901,0.0321405,99600.1,96504.8,900.942,452.79,0.000447399,115812,0,651.175,0,0,768167,2.70623e+06,0.376958,8.4526,0.0233492,0.0233492,1.70991e+06,0.190827,0.763676,1.71449e+06,0.724786,0.333626,2.27264,0.191496,0.191496,680135,3.17223,682856,3.1146,0,76,76
0.364824,0.0392633,106930,112059,900.928,452.8,0.00044834,130763,0,652.593,0,0,768032,2.70607e+06,0.364925,8.44066,0.0218577,0.0218577,2.15886e+06,0.334452,0.694744,2.00935e+06,0.65159,0.301145,2.29916,0.219247,0.219247,857858,3.13777,850897,3.11437,0,77,77
0.345814,0.0829847,128756,136200,900.915,452.817,0.000457534,155495,0,666.043,0,0,767834,2.70582e+06,0.346096,8.42198,0.0199851,0.0199851,2.00975e+06,0.556385,0.453194,1.88813e+06,0.678949,0.266518,2.35067,0.221893,0.221893,1.00774e+06,3.00973,973840,2.95243,0,78,78
0.318343,0.132951,160841,170428,900.894,452.842,0.00047956,193993,0,698.196,0,0,767577,2.7055e+06,0.318841,8.39495,0.0176943,0.0176943,1.37415e+06,0.676227,1.11466,1.80577e+06,1.19343,0.232525,2.42415,0.202959,0.202959,1.02203e+06,2.65249,948087,2.47915,0,79,79
0.2828,0.156709,204011,214883,900.869,452.874,0.00051467,249339,0,749.416,0,0,767287,2.70512e+06,0.283485,8.35988,0.0150659,0.0150659,2.46502e+06,0.584369,2.0912,2.53617e+06,1.73434,0.201553,2.50946,0.169822,0.169822,740558,1.60191,719879,1.74781,0,80,80
0.243426,0.146066,255969,266736,900.853,452.905,0.000556756,319649,0,810.797,0,0,767007,2.70475e+06,0.244183,8.32086,0.0123856,0.0123856,3.84048e+06,0.315552,1.64029,3.26965e+06,1.4904,0.175609,2.59319,0.130863,0.130863,376375,1.13492,513133,1.54987,0,81,81
0.206831,0.115471,310522,319853,900.858,452.928,0.000597044,396132,0,869.551,0,0,766771,2.70445e+06,0.207519,8.28439,0.0100138,0.0100138,2.9326e+06,0.177711,0.589815,2.73421e+06,0.797392,0.156088,2.66446,0.0945127,0.0945127,559225,2.32775,618026,2.31683,0,82,82
0.177757,0.0822807,360151,367356,900.881,452.939,0.000628969,466756,0,916.109,0,0,766593,2.70424e+06,0.178292,8.25526,0.00815359,0.00815359,1.23116e+06,0.325134,0.369646,1.43093e+06,0.459553,0.142811,2.71834,0.0659629,0.0659629,977280,3.4769,884628,3.19657,0,83,83
0.157037,0.0554737,399961,405076,900.91,452.942,0.000650669,523147,0,947.76,0,0,766469,2.70411e+06,0.157411,8.23441,0.0067977,0.0067977,328802,0.467992,0.509103,536570,0.44305,0.134182,2.7554,0.0459099,0.0459099,1.02473e+06,3.50472,967998,3.33753,0,84,84
0.143031,0.0366508,429092,432551,900.935,452.943,0.000663896,563630,0,967.059,0,0,766387,2.70403e+06,0.143277,8.22028,0.0058193,0.0058193,257514,0.463532,0.384348,281405,0.378462,0.128415,2.77923,0.0326594,0.0326594,845257,2.86376,831041,2.82327,0,85,85
0.133623,0.0243344,449282,451578,900.954,452.942,0.000671492,590967,0,978.146,0,0,766333,2.70397e+06,0.133779,8.21078,0.00508813,0.00508813,281788,0.377579,0.236051,256503,0.247694,0.124267,2.79393,0.0241005,0.0241005,608920,2.06085,617643,2.09215,0,86,86
0.127143,0.0165296,462988,464522,900.967,452.942,0.000675784,609044,0,984.417,0,0,766298,2.70394e+06,0.127241,8.20424,0.0045097,0.0045097,204922,0.272548,0.134326,204215,0.144061,0.121036,2.80281,0.0185753,0.0185753,407476,1.38313,421658,1.42978,0,87,87
0.122486,0.0116716,472344,473396,900.976,452.942,0.000678255,621106,0,988.027,0,0,766275,2.70392e+06,0.122549,8.19955,0.00402454,0.00402454,125228,0.183479,0.0715398,130787,0.0786566,0.118365,2.80814,0.0148882,0.0148882,262759,0.892019,275410,0.935492,0,88,88
0.118979,0.00858322,478897,479646,900.981,452.942,0.000679731,629399,0,990.188,0,0,766259,2.7039e+06,0.11902,8.19602,0.00359831,0.00359831,67770.4,0.118179,0.0372202,72719.6,0.0417553,0.116077,2.81133,0.0123389,0.0123389,168647,0.574799,177398,0.60338,0,89,89
0.11622,0.0066285,483656,484211,900.985,452.942,0.000680662,635335,0,991.552,0,0,766247,2.70389e+06,0.116248,8.19325,0.00321059,0.00321059,30109.7,0.0752093,0.0210409,34081.6,0.0225596,0.114082,2.81328,0.01043,0.01043,109540,0.371904,115519,0.39319,0,90,90
0.113973,0.00527019,487253,487681,900.987,452.943,0.000681283,639775,0,992.463,0,0,766238,2.70388e+06,0.113993,8.191,0.00284959,0.00284959,8336.47,0.0479348,0.0109362,12974.7,0.0152033,0.112333,2.81448,0.00895016,0.00895016,74348.4,0.254154,77678.9,0.26445,0,91,91
0.112102,0.00434508,490068,490409,900.989,452.943,0.000681723,643222,0,993.109,0,0,766232,2.70387e+06,0.112117,8.18913,0.00250838,0.00250838,5116,0.0312355,0.0178998,7477.22,0.0155658,0.110802,2.81526,0.00767949,0.00767949,52478.7,0.177589,54884.7,0.186796,0,92,92
0.110523,0.00359892,492336,492613,900.99,452.944,0.000682051,645984,0,993.591,0,0,766226,2.70386e+06,0.110535,8.18755,0.00218244,0.00218244,11340.4,0.0214939,0.0155272,10910.8,0.0167551,0.109471,2.81577,0.00661277,0.00661277,40233.1,0.137854,41147.2,0.139976,0,93,93
0.109189,0.00302847,494187,494414,900.991,452.944,0.000682307,648230,0,993.967,0,0,766222,2.70386e+06,0.109199,8.18621,0.00186885,0.00186885,15846.2,0.0150306,0.0180661,14880.4,0.0174277,0.108327,2.81614,0.00557781,0.00557781,31644.1,0.106609,32800.6,0.111491,0,94,94
0.108067,0.00251645,495713,495899,900.992,452.944,0.000682513,650079,0,994.27,0,0,766218,2.70385e+06,0.108075,8.18509,0.00156516,0.00156516,16488.5,0.0121452,0.0180514,16899.9,0.0183813,0.107363,2.8164,0.00469424,0.00469424,27681,0.0948916,27584.5,0.0937055,0,95,95
0.107141,0.00206173,496957,497108,900.993,452.944,0.000682681,651584,0,994.517,0,0,766215,2.70385e+06,0.107148,8.18417,0.00126969,0.00126969,18776.4,0.00897356,0.0193563,18076.8,0.0191159,0.106572,2.81661,0.00375677,0.00375677,23331.8,0.07843,24204.8,0.082162,0,96,96
0.106395,0.00166419,497964,498083,900.993,452.945,0.000682821,652804,0,994.724,0,0,766212,2.70385e+06,0.1064,8.18342,0.000980635,0.000980635,18266,0.00922793,0.0196997,19816.9,0.020207,0.105947,2.81679,0.00297334,0.00297334,22474.6,0.0768964,21648.3,0.0739165,0,97,97
0.105825,0.00122174,498742,498833,900.994,452.945,0.000682935,653748,0,994.891,0,0,766211,2.70384e+06,0.10583,8.18285,0.000696747,0.000696747,23959.3,0.00767026,0.0220725,25548.1,0.020335,0.105484,2.81695,0.00207538,0.00207538,18312.2,0.0634433,18714.5,0.0648434,0,98,98
0.105424,0.000881258,499335,499401,900.994,452.945,0.000683028,654469,0,995.027,0,0,766209,2.70384e+06,0.105427,8.18245,0.000416434,0.000416434,36007.6,0.0137539,0.0174951,51428.3,0.0206291,0.105177,2.8171,0.00136869,0.00136869,15759.1,0.0555908,28563.4,0.112245,0,99,99
0.10521,0.000282464,499757,499810,900.995,452.945,0.000683085,654979,0,995.11,0,0,766208,2.70384e+06,0.105212,8.18224,0.000138566,0.000138566,36865.6,0.0233087,0.00397928,36436.6,0.0107372,0.105012,2.81727,0.000515487,0.000515487,24332.1,0.109383,20045.6,0.0824867,0,100,100
