"alA_l","alpha_aux_l","alrhoA_g","alrhoA_l","alrhoEA_g","alrhoEA_l","alrhouA_g","alrhouA_l","area_aux","density_aux_g","density_aux_l","internal_energy_aux_g","internal_energy_aux_l","mach_number_aux_g","mach_number_aux_l","norm_velocity_aux_g","norm_velocity_aux_l","pressure_aux_g","pressure_aux_l","temperature_aux_g","temperature_aux_l","velocity_x_aux_g","velocity_x_aux_l","GlobalNodeId","PedigreeNodeId","Points:0","Points:1","Points:2"
0.0933604,0.103012,0.911953,84.5252,2.13987e+06,6.41817e+07,76.0762,7101.3,0.906309,1.12178,905.364,2.62833e+06,6.84266e+08,0.190156,0.0521441,83.4212,84.0141,150975,114202,300.951,450.585,83.4212,84.0141,73,73,0.72,0,0
0.0944826,0.100799,0.957804,85.5501,2.25322e+06,6.49379e+07,76.842,7113.03,0.937333,1.13639,905.459,2.66968e+06,6.8417e+08,0.181068,0.0516066,80.2273,83.1446,156009,135034,306.989,450.547,80.2273,83.1446,74,74,0.73,0,0
0.0967942,0.0999315,1.03352,87.6529,2.44263e+06,6.65037e+07,78.1204,7117.75,0.968605,1.18549,905.56,2.7984e+06,6.84077e+08,0.167659,0.0504039,75.5867,81.2038,168499,168385,317.833,450.512,75.5867,81.2038,75,75,0.74,0,0
0.101199,0.101199,1.14598,91.6528,2.7275e+06,6.94963e+07,79.6757,7128.25,1,1.27501,905.667,3.03152e+06,6.83988e+08,0.150376,0.048277,69.5263,77.7745,190598,217687,334.274,450.481,69.5263,77.7745,76,76,0.75,0,0
0.109256,0.10593,1.29522,98.9614,3.11093e+06,7.4982e+07,81.0716,7186.23,1.0314,1.40458,905.777,3.37085e+06,6.83909e+08,0.131245,0.0450765,62.5929,72.6165,223406,283458,355.67,450.456,62.5929,72.6165,77,77,0.76,0,0
0.121728,0.114549,1.47414,110.271,3.57637e+06,8.34807e+07,81.7541,7257.62,1.06267,1.56667,905.885,3.79844e+06,6.83838e+08,0.112597,0.0408561,55.4588,65.8161,265784,357119,379.358,450.435,55.4588,65.8161,78,78,0.77,0,0
0.137893,0.12608,1.66637,124.929,4.08048e+06,9.44992e+07,81.8261,7282.23,1.09369,1.74344,905.984,4.26709e+06,6.83769e+08,0.0969127,0.0361857,49.1043,58.2911,313003,419865,401.458,450.414,49.1043,58.2911,79,79,0.78,0,0
0.155818,0.138586,1.85142,141.182,4.56646e+06,1.06718e+08,81.8184,7246.23,1.12434,1.91158,906.072,4.71299e+06,6.83694e+08,0.0853991,0.0318625,44.1923,51.3253,357967,456862,418.744,450.387,44.1923,51.3253,80,80,0.79,0,0
0.173332,0.150135,2.0151,157.065,4.99384e+06,1.18657e+08,82.2015,7198.19,1.15451,2.05376,906.152,5.08794e+06,6.83611e+08,0.0777756,0.0284516,40.7928,45.8293,395087,472258,430.171,450.354,40.7928,45.8293,81,81,0.8,0,0
0.188901,0.159536,2.15499,171.188,5.35488e+06,1.29267e+08,82.742,7156.6,1.18406,2.16547,906.231,5.37932e+06,6.83522e+08,0.0726585,0.0259547,38.3955,41.8056,422867,476716,436.666,450.317,38.3955,41.8056,82,82,0.81,0,0
