"alA_l","alpha_aux_l","alrhoA_g","alrhoA_l","alrhoEA_g","alrhoEA_l","alrhouA_g","alrhouA_l","area_aux","density_aux_g","density_aux_l","internal_energy_aux_g","internal_energy_aux_l","mach_number_aux_g","mach_number_aux_l","norm_velocity_aux_g","norm_velocity_aux_l","pressure_aux_g","pressure_aux_l","temperature_aux_g","temperature_aux_l","velocity_x_aux_g","velocity_x_aux_l","GlobalNodeId","PedigreeNodeId","Points:0","Points:1","Points:2"
0.75,0.5,3.69985,675.968,9.25393e+06,5.17279e+08,70.7241,10859,1.5,4.93314,901.29,1.23377e+07,6.89589e+08,0.0355205,0.00994421,19.1154,16.0644,999066,883728,452.865,452.97,19.1154,16.0644,1,1,0,0,0
0.743553,0.496028,3.70822,670.158,9.2719e+06,5.12835e+08,70.7251,10859,1.49901,4.90856,901.291,1.22723e+07,6.89591e+08,0.035471,0.0100304,19.0725,16.2036,992397,887535,452.095,452.971,19.0725,16.2036,2,2,0.01,0,0
0.736698,0.492426,3.71,663.98,9.27352e+06,5.0811e+08,70.7216,10859.3,1.49606,4.88569,901.292,1.22114e+07,6.89592e+08,0.0354809,0.010124,19.0624,16.3548,986184,890974,451.367,452.972,19.0624,16.3548,3,3,0.02,0,0
0.729423,0.48917,3.7051,657.424,9.25859e+06,5.03095e+08,70.7226,10859.2,1.49114,4.86412,901.293,1.2154e+07,6.89594e+08,0.0355558,0.0102249,19.0879,16.5178,980310,894033,450.669,452.973,19.0879,16.5178,4,4,0.03,0,0
0.721717,0.486237,3.69378,650.48,9.22775e+06,4.97783e+08,70.7194,10859.5,1.48429,4.84383,901.294,1.20999e+07,6.89595e+08,0.0356895,0.0103343,19.1455,16.6946,974779,896726,450.003,452.974,19.1455,16.6946,5,5,0.04,0,0
0.713568,0.483602,3.67604,643.135,9.18097e+06,4.92165e+08,70.7203,10859.4,1.47553,4.82445,901.295,1.20483e+07,6.89596e+08,0.035888,0.0104522,19.2382,16.8851,969489,899034,449.359,452.975,19.2382,16.8851,6,6,0.05,0,0
0.704969,0.481244,3.65216,635.386,9.11898e+06,4.86237e+08,70.7174,10859.6,1.46489,4.80598,901.295,1.1999e+07,6.89597e+08,0.0361461,0.0105799,19.3632,17.0914,964446,900975,448.739,452.975,19.3632,17.0914,7,7,0.06,0,0
0.695911,0.479141,3.62221,627.222,9.04193e+06,4.79992e+08,70.7183,10859.6,1.45241,4.7881,901.296,1.19514e+07,6.89597e+08,0.03647,0.0107176,19.5235,17.3138,959559,902524,448.133,452.976,19.5235,17.3138,8,8,0.07,0,0
0.686392,0.477274,3.58651,618.643,8.95062e+06,4.7343e+08,70.7155,10859.8,1.43815,4.77081,901.296,1.19053e+07,6.89598e+08,0.0368559,0.0108664,19.7171,17.5542,954833,903703,447.542,452.976,19.7171,17.5542,9,9,0.08,0,0
0.676409,0.475619,3.54518,609.645,8.84535e+06,4.66547e+08,70.7162,10859.7,1.42216,4.75381,901.296,1.186e+07,6.89598e+08,0.0373103,0.0110267,19.9471,17.8132,950189,904475,446.957,452.976,19.9471,17.8132,10,10,0.09,0,0
0.665965,0.474162,3.49857,600.232,8.72697e+06,4.59347e+08,70.7135,10859.9,1.40451,4.73712,901.296,1.18155e+07,6.89598e+08,0.0378304,0.0111998,20.2121,18.0929,945629,904866,446.38,452.976,20.2121,18.0929,11,11,0.1,0,0
0.655062,0.472881,3.44686,590.405,8.59594e+06,4.5183e+08,70.7139,10859.8,1.38526,4.72047,901.296,1.17711e+07,6.89598e+08,0.038423,0.0113861,20.5154,18.3939,941083,904825,445.8,452.976,20.5154,18.3939,12,12,0.11,0,0
0.643712,0.471762,3.39042,580.175,8.45314e+06,4.44004e+08,70.7113,10860,1.36448,4.70386,901.296,1.17269e+07,6.89598e+08,0.0390867,0.0115871,20.8562,18.7185,936552,904378,445.22,452.976,20.8562,18.7185,13,13,0.12,0,0
0.631921,0.470784,3.32946,569.548,8.29914e+06,4.35875e+08,70.7114,10859.9,1.34227,4.68705,901.296,1.16821e+07,6.89598e+08,0.0398288,0.0118032,21.2381,19.0676,931969,903462,444.631,452.976,21.2381,19.0676,14,14,0.13,0,0
0.619709,0.469935,3.26436,558.541,8.13489e+06,4.27456e+08,70.7087,10860.1,1.31871,4.67003,901.295,1.16368e+07,6.89598e+08,0.0406488,0.012036,21.6608,19.4437,927337,902099,444.034,452.976,21.6608,19.4437,15,15,0.14,0,0
0.607089,0.469196,3.1954,547.166,7.96102e+06,4.18754e+08,70.7084,10860,1.29389,4.65256,901.294,1.15903e+07,6.89597e+08,0.0415546,0.0122861,22.1282,19.8477,922591,900211,443.42,452.975,22.1282,19.8477,16,16,0.15,0,0
0.594086,0.468554,3.12295,535.445,7.77851e+06,4.09789e+08,70.7056,10860.2,1.26791,4.63464,901.293,1.15426e+07,6.89596e+08,0.0425472,0.0125553,22.6406,20.2825,917730,897815,442.789,452.975,22.6406,20.2825,17,17,0.16,0,0
0.580718,0.46799,3.04732,523.397,7.5881e+06,4.00573e+08,70.7047,10860.1,1.24088,4.61604,901.292,1.14931e+07,6.89596e+08,0.0436349,0.0128442,23.2023,20.7492,912696,894814,442.134,452.974,23.2023,20.7492,18,18,0.17,0,0
0.567019,0.467495,2.9689,511.049,7.39076e+06,3.91129e+08,70.7017,10860.2,1.21289,4.59674,901.291,1.14418e+07,6.89595e+08,0.0448201,0.0131547,23.8141,21.2508,907482,891217,441.455,452.973,23.8141,21.2508,19,19,0.18,0,0
0.553013,0.467048,2.888,498.425,7.18729e+06,3.81473e+08,70.7003,10860.1,1.18406,4.57651,901.289,1.13881e+07,6.89593e+08,0.0461118,0.0134877,24.4807,21.7888,902032,886904,440.743,452.972,24.4807,21.7888,20,20,0.19,0,0
0.538738,0.466639,2.80502,485.558,6.97866e+06,3.71631e+08,70.697,10860.3,1.15451,4.55531,901.287,1.13318e+07,6.89592e+08,0.0475138,0.0138454,25.2037,22.3666,896336,881876,439.999,452.971,25.2037,22.3666,21,21,0.2,0,0
0.524224,0.466248,2.7203,472.475,6.76572e+06,3.61624e+08,70.6949,10860.1,1.12434,4.53292,901.285,1.12724e+07,6.8959e+08,0.0490359,0.0142286,25.9878,22.9855,890339,875982,439.213,452.969,25.9878,22.9855,22,22,0.21,0,0
0.509512,0.465865,2.63423,459.214,6.54944e+06,3.51482e+08,70.6911,10860.2,1.09369,4.50929,901.282,1.12097e+07,6.89588e+08,0.0506832,0.0146397,26.8356,23.6496,884028,869210,438.385,452.967,26.8356,23.6496,23,23,0.22,0,0
0.494639,0.46547,2.54715,445.808,6.33066e+06,3.41228e+08,70.6882,10860.1,1.06267,4.48419,901.279,1.11433e+07,6.89586e+08,0.0524664,0.0150797,27.7519,24.3604,877348,861378,437.508,452.965,27.7519,24.3604,24,24,0.23,0,0
