"beta_max_aux","beta_aux","PI_aux","PI_bar_aux","rhoI_aux","tempI_aux","P_rel_aux","vel_rel_aux","Omega_aux","Aint_aux","ht_liq_aux","ht_gas_aux","EI_liq_aux","EI_gas_aux","mu_max_aux_l","kappa_max_aux_l","mu_aux_l","kappa_aux_l","jump_grad_press_aux_l","jump_grad_alpha_aux_l","jump_grad_dens_aux_l","smooth_jump_grad_press_aux_l","smooth_jump_grad_dens_aux_l","mu_max_aux_g","kappa_max_aux_g","mu_aux_g","kappa_aux_g","jump_grad_press_aux_g","jump_grad_dens_aux_g","smooth_jump_grad_press_aux_g","smooth_jump_grad_dens_aux_g","ObjectId","GlobalElementId","PedigreeElementId"
0.0651445,0.0088287,966050,966503,901.292,453.006,0.00685569,1.30095e+07,0,10000,0,0,766335,2.7038e+06,0.0651776,8.14275,9.53543e-05,9.53543e-05,916439,0.629849,0.322216,526928,0.184013,0.0660462,2.71728,0.0188158,0.0188158,893980,3.19767,470092,1.68479,0,1,1
0.0659845,0.00150363,959527,959599,901.283,453.008,0.00685574,1.29304e+07,0,10000,0,0,766343,2.7038e+06,0.0659915,8.14358,0.000263262,0.000263262,1.19127e+06,0.701936,0.413836,932128,0.321833,0.0658521,2.71423,0.0026847,0.0026847,986388,3.5415,758384,2.71901,0,2,2
0.0660543,0.000512091,960698,960685,901.285,453.007,0.00685573,1.29429e+07,0,10000,0,0,766342,2.7038e+06,0.0660528,8.14363,0.000435603,0.000435603,429528,0.100145,0.137444,579981,0.191234,0.0660787,2.71491,0.000631187,0.000631187,166779,0.595356,372464,1.3274,0,3,3
0.0663395,0.000988768,960105,960108,901.285,453.007,0.00685574,1.29362e+07,0,10000,0,0,766342,2.7038e+06,0.0663392,8.14392,0.000612198,0.000612198,269594,0.0694414,0.0762121,300704,0.0882608,0.0663443,2.71494,0.00218309,0.00218309,169909,0.577385,178929,0.616891,0,4,4
0.0666967,0.00108569,959746,959741,901.284,453.007,0.00685575,1.2932e+07,0,10000,0,0,766343,2.7038e+06,0.0666966,8.14428,0.000790352,0.000790352,234100,0.086888,0.0631747,240595,0.0656049,0.0667057,2.71516,0.00149513,0.00149513,209120,0.717438,201202,0.68901,0,5,5
0.0671494,0.0014221,959189,959195,901.284,453.007,0.00685575,1.29257e+07,0,10000,0,0,766343,2.7038e+06,0.0671494,8.14473,0.000973128,0.000973128,224588,0.0889823,0.0598581,226388,0.0606089,0.0671612,2.7154,0.00300053,0.00300053,216660,0.743779,215204,0.738797,0,6,6
0.0676977,0.00142469,958551,958543,901.284,453.007,0.00685576,1.29182e+07,0,10000,0,0,766344,2.7038e+06,0.0676976,8.14528,0.00115822,0.00115822,222277,0.0893831,0.0595447,222334,0.0595044,0.0677114,2.71569,0.00161954,0.00161954,218376,0.750191,217639,0.747391,0,7,7
0.068343,0.00184771,957761,957770,901.284,453.007,0.00685578,1.29092e+07,0,10000,0,0,766345,2.70381e+06,0.068343,8.14592,0.00135004,0.00135004,220192,0.0894809,0.05907,220632,0.0593153,0.0683595,2.71604,0.00371813,0.00371813,217144,0.745405,217362,0.746445,0,8,8
0.0690893,0.00177783,956871,956861,901.283,453.007,0.00685579,1.28987e+07,0,10000,0,0,766346,2.70381e+06,0.0690891,8.14666,0.00154511,0.00154511,219865,0.0899732,0.0595765,219423,0.0593409,0.0691081,2.71644,0.00168247,0.00168247,216784,0.74478,216277,0.742774,0,9,9
0.0699385,0.00230686,955811,955822,901.283,453.006,0.00685581,1.28867e+07,0,10000,0,0,766347,2.70381e+06,0.0699386,8.14751,0.001749,0.001749,217768,0.0901258,0.0591407,218227,0.0594061,0.0699605,2.7169,0.00451252,0.00451252,214396,0.736132,214821,0.737924,0,10,10
0.0708962,0.00214985,954641,954628,901.282,453.006,0.00685583,1.28728e+07,0,10000,0,0,766349,2.70381e+06,0.070896,8.14847,0.00195753,0.00195753,217506,0.0906314,0.0597666,216876,0.0594512,0.0709208,2.71741,0.00233196,0.00233196,213709,0.734651,213070,0.732118,0,11,11
0.0719643,0.00280692,953272,953286,901.282,453.006,0.00685585,1.28571e+07,0,10000,0,0,766351,2.70381e+06,0.0719645,8.14953,0.00217651,0.00217651,214722,0.0905726,0.059131,215317,0.0594631,0.0719926,2.71798,0.00544489,0.00544489,210465,0.723036,211041,0.725401,0,12,12
0.0731505,0.00254216,951780,951764,901.281,453.005,0.00685587,1.28394e+07,0,10000,0,0,766353,2.70382e+06,0.0731502,8.15071,0.00240191,0.00240191,214317,0.0909423,0.0598237,213493,0.0594239,0.0731818,2.7186,0.00330009,0.00330009,209526,0.720881,208699,0.717624,0,13,13
0.0744565,0.00335813,950053,950071,901.28,453.005,0.0068559,1.28196e+07,0,10000,0,0,766355,2.70382e+06,0.0744567,8.15202,0.00263946,0.00263946,210614,0.0905623,0.0589171,211386,0.059334,0.0744922,2.71928,0.00653751,0.00653751,205280,0.705697,206031,0.708751,0,14,14
0.0758926,0.00295626,948184,948164,901.279,453.005,0.00685593,1.27973e+07,0,10000,0,0,766357,2.70382e+06,0.0758923,8.15345,0.00288527,0.00288527,209999,0.0907323,0.0596783,208940,0.0591758,0.0759319,2.72002,0.00445354,0.00445354,204037,0.702728,202977,0.698579,0,15,15
0.0774599,0.00397261,946034,946056,901.278,453.004,0.00685597,1.27726e+07,0,10000,0,0,766360,2.70383e+06,0.0774601,8.15501,0.00314506,0.00314506,205148,0.0899372,0.0584296,206140,0.0589502,0.0775044,2.72082,0.00784205,0.00784205,198555,0.683163,199521,0.687064,0,16,16
0.0791711,0.00343409,943668,943693,901.277,453.004,0.006856,1.27449e+07,0,10000,0,0,766363,2.70383e+06,0.0791714,8.15672,0.00341489,0.00341489,204265,0.0898589,0.059263,202919,0.0586348,0.0792207,2.72168,0.0058569,0.0058569,196936,0.679204,195591,0.673956,0,17,17
0.0810285,0.00466466,941062,941090,901.276,453.003,0.00685605,1.27144e+07,0,10000,0,0,766367,2.70384e+06,0.0810289,8.15857,0.00370056,0.00370056,197995,0.0885428,0.0575836,199260,0.0582293,0.0810839,2.7226,0.00942673,0.00942673,189937,0.654254,191170,0.65921,0,18,18
0.0830465,0.00414436,938146,938177,901.275,453.002,0.00685609,1.26802e+07,0,10000,0,0,766370,2.70384e+06,0.0830469,8.16058,0.00399801,0.00399801,196784,0.0881336,0.058487,195084,0.0577059,0.083108,2.72357,0.00759679,0.00759679,187870,0.64913,186178,0.642536,0,19,19
0.0852268,0.00545052,934941,934975,901.273,453.002,0.00685615,1.26425e+07,0,10000,0,0,766375,2.70385e+06,0.0852273,8.16276,0.00431303,0.00431303,188775,0.0861278,0.056266,190378,0.0570612,0.0852954,2.7246,0.0113832,0.0113832,179035,0.617631,180600,0.6239,0,20,20
0.087588,0.00496406,931358,931396,901.272,453.001,0.0068562,1.26003e+07,0,10000,0,0,766380,2.70386e+06,0.0875885,8.16511,0.0046414,0.0046414,187177,0.0852578,0.057226,185051,0.0562619,0.0876643,2.72567,0.00979049,0.00979049,176459,0.611207,174351,0.602989,0,21,21
0.09013,0.0063488,927423,927465,901.27,453,0.00685627,1.2554e+07,0,10000,0,0,766385,2.70386e+06,0.0901306,8.16765,0.00498869,0.00498869,177077,0.0823427,0.0543296,179094,0.0552999,0.090215,2.72681,0.013836,0.013836,165453,0.571909,167427,0.579799,0,22,22
0.0928764,0.00591935,923026,923073,901.268,452.999,0.00685634,1.25021e+07,0,10000,0,0,766391,2.70387e+06,0.0928771,8.17038,0.00535047,0.00535047,175045,0.0808662,0.0553146,172418,0.0541378,0.0929711,2.72798,0.0125978,0.0125978,162343,0.564171,159751,0.554033,0,23,23
0.0958245,0.00738121,918197,918250,901.266,452.998,0.00685642,1.24452e+07,0,10000,0,0,766398,2.70388e+06,0.0958252,8.17332,0.00573179,0.00573179,162503,0.0768109,0.0515927,165018,0.0527618,0.0959301,2.72919,0.0169563,0.0169563,148865,0.515882,151334,0.525747,0,24,24
0.0990036,0.00704173,912803,912861,901.263,452.997,0.00685651,1.23815e+07,0,10000,0,0,766405,2.70389e+06,0.0990045,8.17649,0.0061279,0.0061279,160019,0.0746026,0.0525471,156822,0.0511353,0.0991214,2.73042,0.016237,0.016237,145264,0.507054,142132,0.494731,0,25,25
0.102407,0.00857342,906879,906944,901.26,452.995,0.00685661,1.23114e+07,0,10000,0,0,766413,2.7039e+06,0.102408,8.17988,0.00654289,0.00654289,144748,0.0692077,0.0478541,147841,0.049238,0.102539,2.73168,0.0209811,0.0209811,129136,0.448931,132186,0.461141,0,26,26
