"PI_aux","PI_bar_aux","rhoI_aux","tempI_aux","P_rel_aux","vel_rel_aux","Omega_aux","Aint_aux","ht_liq_aux","ht_gas_aux","EI_liq_aux","EI_gas_aux","beta_aux","beta_max_aux","jump_grad_alpha_aux","mu_aux_l","mu_max_aux_l","kappa_aux_l","kappa_max_aux_l","jump_grad_press_aux_l","jump_grad_alpha_aux_l","jump_grad_dens_aux_l","jump_grad_press_smooth_aux_l","jump_grad_dens_smooth_aux_l","mu_aux_g","kappa_aux_g","mu_max_aux_g","kappa_max_aux_g","jump_grad_press_aux_g","jump_grad_dens_aux_g","jump_grad_press_smooth_aux_g","jump_grad_dens_smooth_aux_g","ObjectId","GlobalElementId","PedigreeElementId"
1.00002e+06,1.00002e+06,10.0003,19999.8,0,0,0,0,0,0,149998,69999.3,8.3819e-15,7.48359e-06,0,2.79177e-06,1.02451e-05,2.74585e-08,1.09545,62173.1,0,0.207244,75858.2,0.252861,1.7593e-07,1.68148e-08,4.54186e-05,2.36649,8078.76,0.00577063,6404.84,0.00457529,0,18,18
1e+06,1e+06,9.99993,20000.2,0,0,0,0,0,0,150001,70000.6,8.3819e-15,7.51472e-06,0,7.97053e-07,4.44562e-06,7.83915e-09,1.09545,32857.9,0,0.109526,45085.9,0.150286,9.03737e-08,8.63757e-09,2.1722e-05,2.36645,7069.87,0.00504935,6836.92,0.00488375,0,19,19
999973,999973,9.99978,19999.9,0,0,0,0,0,0,149999,69999.6,8.3819e-15,1.1885e-05,0,2.22262e-07,2.94852e-06,2.18603e-09,1.09545,10008.1,0,0.0333604,21672.3,0.0722409,2.40972e-07,2.30304e-08,5.32536e-05,2.36647,9632,0.00687991,7460.95,0.00532924,0,20,20
999977,999977,9.99975,20000,0,0,0,0,0,0,150000,70000.2,8.3819e-15,7.47195e-06,0,8.65706e-08,2.24333e-06,8.51448e-10,1.09545,5170.66,0,0.0172355,10271.4,0.034238,1.92295e-07,1.83783e-08,4.78408e-05,2.36647,6974.67,0.00498192,6629.87,0.00473555,0,21,21
1.00001e+06,1.00001e+06,10.0001,20000,0,0,0,0,0,0,150000,70000.1,8.3819e-15,3.33778e-06,0,8.24514e-08,2.67367e-06,8.10936e-10,1.09545,10378,0,0.0345933,8591.98,0.0286399,1.27765e-07,1.22103e-08,2.57726e-05,2.36646,8075.52,0.00576804,8250.37,0.005893,0,22,22
1.00004e+06,1.00004e+06,10.0004,19999.9,0,0,0,0,0,0,149999,69999.7,8.3819e-15,1.26424e-05,0,6.38437e-08,2.12239e-06,6.27928e-10,1.09545,6812.59,0,0.0227086,8472.15,0.0282404,4.87979e-07,4.66335e-08,8.09869e-05,2.36653,13386.3,0.0095616,10032.9,0.00716627,0,23,23
1.00003e+06,1.00003e+06,10.0002,20000.1,0,0,0,0,0,0,150001,70000.4,8.3819e-15,1.59122e-05,0,1.81358e-07,3.41761e-06,1.7837e-09,1.09545,7873.52,0,0.0262449,9574.78,0.0319159,3.04533e-07,2.9103e-08,7.37494e-05,2.36652,9708.03,0.00693438,6812.89,0.0048663,0,24,24
999970,999970,9.99978,19999.8,0,0,0,0,0,0,149999,69999.5,8.3819e-15,7.34293e-06,0,6.3624e-07,6.44564e-06,6.25772e-09,1.09545,23500.5,0,0.0783352,19012.8,0.0633759,8.17812e-08,7.81608e-09,2.67114e-05,2.36645,4037.65,0.00288431,4470.31,0.00319302,0,25,25
999882,999882,9.99874,20000.2,0,0,0,0,0,0,150001,70000.6,8.3819e-15,1.70246e-05,0,1.69809e-06,1.14004e-05,1.6701e-08,1.09546,45612,0,0.15204,37670.6,0.125569,7.04785e-07,6.73675e-08,7.5614e-05,2.36646,12129.6,0.00866472,14689.2,0.0104929,0,26,26
999714,999714,9.99721,19999.9,0,0,0,0,0,0,149999,69999.5,8.3819e-15,7.34343e-05,0,3.24641e-06,1.61308e-05,3.19299e-08,1.09546,68011.1,0,0.226704,59536.2,0.198454,1.29698e-05,1.23987e-06,0.000431177,2.36675,50002.7,0.0357217,49129.4,0.0350993,0,27,27
999348,999348,9.99343,20000.1,0,0,0,0,0,0,150001,70000.3,8.3819e-15,0.000246658,0,4.78469e-06,1.98333e-05,4.70586e-08,1.09547,86985.8,0,0.289953,79374.2,0.264581,9.34733e-05,8.93757e-06,0.00137731,2.36754,123881,0.0885221,111693,0.0798194,0,28,28
998508,998508,9.9851,20000,0,0,0,0,0,0,150000,69999.9,8.3819e-15,0.000583283,0,5.73027e-06,2.17829e-05,5.63593e-08,1.09547,99010.3,0,0.330034,93639.1,0.31213,0.000385018,3.68339e-05,0.0032914,2.36911,218083,0.155932,193354,0.138263,0,29,29
996867,996867,9.96869,19999.9,0,0,0,0,0,0,150000,70000,8.3819e-15,0.00118708,0,6.11952e-06,2.14456e-05,6.01877e-08,1.09547,101263,0,0.337545,99297.1,0.33099,0.00112184,0.000107448,0.00670725,2.37185,310566,0.222335,277029,0.198328,0,30,30
994120,994120,9.94114,20000.1,0,0,0,0,0,0,150002,70001.1,8.3819e-15,0.00216451,0,5.47824e-06,1.858e-05,5.38796e-08,1.09547,92123.5,0,0.307078,94323,0.31441,0.00251277,0.000241162,0.0122309,2.37624,370416,0.26578,340320,0.244126,0,31,31
990096,990096,9.90107,19999.8,0,0,0,0,0,0,150000,70000.9,8.3819e-15,0.00357474,0,3.60187e-06,1.33102e-05,3.54262e-08,1.09545,71555.4,0,0.238518,78118.8,0.260396,0.0044574,0.000429196,0.0203239,2.38267,374572,0.26978,362637,0.26097,0,32,32
984859,984859,9.84847,20000.3,0,0,0,0,0,0,150006,70004.6,8.3819e-15,0.0054552,0,1.40498e-06,6.86581e-06,1.38181e-08,1.09546,41305.6,0,0.137686,51774.1,0.17258,0.00634649,0.000614163,0.0310854,2.39126,325442,0.235835,336313,0.243247,0,33,33
978600,978600,9.78613,19999.7,0,0,0,0,0,0,150005,70006.5,8.3819e-15,0.00769539,0,8.23446e-07,7.30111e-06,8.099e-09,1.09545,19248.5,0,0.0641625,27696.2,0.0923205,0.00732771,0.000714728,0.0441699,2.40174,243854,0.178508,271860,0.198215,0,34,34
971632,971632,9.71621,20000.2,0,0,0,0,0,0,150015,70014,8.3819e-15,0.0102223,0,1.4614e-06,1.0098e-05,1.43729e-08,1.09546,32990,0,0.109967,28134,0.0937793,0.00697897,0.000689715,0.0589575,2.41361,161066,0.119972,192759,0.142439,0,35,35
964188,964188,9.64197,19999.8,0,0,0,0,0,0,150019,70020.2,8.3819e-15,0.0128747,0,3.27298e-06,1.68243e-05,3.21913e-08,1.09546,66621.2,0,0.22207,53220.7,0.177402,0.0055886,0.000565492,0.0748079,2.42634,96424.6,0.0740803,120643,0.091315,0,36,36
956468,956468,9.56464,20000.1,0,0,0,0,0,0,150031,70030.8,8.3819e-15,0.0156011,0,5.07049e-06,2.10692e-05,4.98697e-08,1.09547,90587.6,0,0.301959,80193.7,0.267312,0.0037804,0.000400892,0.0912364,2.4395,51576.7,0.0421172,66239.3,0.0525808,0,37,37
