"alA_l","alrhoA_l","alrhouA_l","alrhoEA_l","alrhoA_g","alrhouA_g","alrhoEA_g","area_aux","alpha_aux_l","velocity_x_aux_l","density_aux_l","internal_energy_aux_l","pressure_aux_l","temperature_aux_l","norm_velocity_aux_l","velocity_x_aux_g","density_aux_g","internal_energy_aux_g","pressure_aux_g","temperature_aux_g","norm_velocity_aux_g","GlobalNodeId","PedigreeNodeId","Points:0","Points:1","Points:2"
0.136931,123.362,9318.33,9.47555e+07,0.671491,50.7488,1.45681e+06,0.906309,0.151087,75.5366,900.903,6.89424e+08,50388.6,452.787,75.5366,75.5762,0.872771,1.89099e+06,51285.2,131.398,75.5762,73,73,0.72,0,0
0.136282,122.781,9325.25,9.43043e+07,0.661132,50.2272,1.43187e+06,0.937333,0.145393,75.9501,900.937,6.89381e+08,46354.5,452.768,75.9501,75.9714,0.82533,1.7851e+06,47164,127.785,75.9714,74,74,0.73,0,0
0.135773,122.318,9291.72,9.39577e+07,0.672093,51.0346,1.45706e+06,0.968605,0.140174,75.9637,900.902,6.89422e+08,46233.3,452.786,75.9637,75.9338,0.806997,1.7472e+06,46867.2,129.866,75.9338,75,75,0.74,0,0
0.13684,123.284,9290.06,9.46851e+07,0.713485,53.6891,1.55592e+06,1,0.13684,75.3548,900.94,6.89383e+08,52209.3,452.77,75.3548,75.2491,0.826596,1.80025e+06,52570.3,142.215,75.2491,76,76,0.75,0,0
0.141691,127.651,9409.54,9.80323e+07,0.795449,58.4868,1.75675e+06,1.0314,0.137378,73.7132,900.911,6.89428e+08,67652.7,452.791,73.7132,73.5268,0.89406,1.97211e+06,67583.2,169.033,73.5268,77,77,0.76,0,0
0.151494,136.49,9620.67,1.04779e+08,0.929246,65.2614,2.09228e+06,1.06267,0.142561,70.4862,900.958,6.89395e+08,96879,452.781,70.4862,70.2305,1.01984,2.29374e+06,96093.1,210.698,70.2305,78,78,0.77,0,0
0.174341,157.072,10164.6,1.20528e+08,1.12864,72.694,2.60722e+06,1.09369,0.159406,64.7131,900.948,6.89445e+08,149055,452.809,64.7131,64.4084,1.22765,2.83339e+06,146740,267.282,64.4084,79,79,0.78,0,0
0.229678,206.945,11172.5,1.58648e+08,1.40675,75.5777,3.35518e+06,1.12434,0.204277,53.9879,901.022,6.89429e+08,243728,452.815,53.9879,53.725,1.57237,3.74793e+06,239083,340.01,53.725,80,80,0.79,0,0
0.314018,282.944,10678.9,2.16716e+08,1.68592,63.3692,4.13583e+06,1.15451,0.271993,37.7421,901.044,6.89495e+08,368728,452.86,37.7421,37.5874,2.00587,4.91932e+06,364381,406.21,37.5874,81,81,0.8,0,0
0.371487,334.734,9427.83,2.56284e+08,1.8481,51.9508,4.59852e+06,1.18406,0.313739,28.1651,901.066,6.8953e+08,449617,452.886,28.1651,28.1104,2.27437,5.65829e+06,447769,440.242,28.1104,82,82,0.81,0,0
0.384697,346.639,9337.21,2.65387e+08,1.90933,51.4137,4.75935e+06,1.21289,0.317174,26.9364,901.069,6.89533e+08,458475,452.889,26.9364,26.9275,2.30542,5.74584e+06,458307,444.533,26.9275,83,83,0.82,0,0
0.396229,357.03,9340.27,2.73335e+08,1.96094,51.2884,4.89287e+06,1.24088,0.319313,26.161,901.071,6.89535e+08,464091,452.89,26.161,26.155,2.32161,5.79199e+06,464023,446.939,26.155,84,84,0.83,0,0
0.406871,366.621,9342.62,2.80671e+08,2.01296,51.2861,5.0269e+06,1.26791,0.320898,25.4831,901.073,6.89536e+08,469450,452.892,25.4831,25.478,2.33782,5.8374e+06,469402,448.986,25.478,85,85,0.84,0,0
0.416748,375.521,9344.86,2.8748e+08,2.06137,51.2882,5.15112e+06,1.29389,0.322088,24.8851,901.074,6.89538e+08,473552,452.893,24.8851,24.8806,2.35009,5.87187e+06,473510,450.55,24.8806,86,86,0.85,0,0
0.426238,384.073,9344.08,2.94022e+08,2.10919,51.306,5.27388e+06,1.31871,0.323223,24.3289,901.076,6.89539e+08,477795,452.894,24.3289,24.325,2.36331,5.90858e+06,477758,452.05,24.325,87,87,0.86,0,0
0.434999,391.967,9342.83,3.00061e+08,2.15253,51.2996,5.38508e+06,1.34227,0.324076,23.8357,901.077,6.8954e+08,481012,452.895,23.8357,23.8323,2.37252,5.93478e+06,480980,453.331,23.8323,88,88,0.87,0,0
0.443335,399.48,9340.94,3.05807e+08,2.1944,51.3046,5.49277e+06,1.36448,0.32491,23.3828,901.078,6.89541e+08,484356,452.896,23.3828,23.3797,2.38225,5.96231e+06,484329,454.623,23.3797,89,89,0.88,0,0
0.451009,406.395,9339.51,3.11097e+08,2.23169,51.2813,5.58866e+06,1.38526,0.325578,22.9814,901.079,6.89542e+08,486865,452.897,22.9814,22.9787,2.38876,5.98136e+06,486842,455.737,22.9787,90,90,0.89,0,0
0.458213,412.886,9339.17,3.16063e+08,2.26753,51.2845,5.68083e+06,1.40451,0.326244,22.6192,901.08,6.89543e+08,489487,452.897,22.6192,22.6169,2.39622,6.00262e+06,489467,456.767,22.6169,91,91,0.9,0,0
0.464757,418.783,9339.17,3.20574e+08,2.29902,51.2652,5.76166e+06,1.42216,0.326795,22.3007,901.08,6.89544e+08,491396,452.898,22.3007,22.2987,2.4013,6.01738e+06,491379,457.581,22.2987,92,92,0.91,0,0
0.470748,424.183,9340.02,3.24705e+08,2.32905,51.2789,5.83861e+06,1.43815,0.327328,22.0189,901.081,6.89544e+08,493432,452.898,22.0189,22.0171,2.40752,6.03475e+06,493417,458.292,22.0171,93,93,0.92,0,0
0.47604,428.951,9340.7,3.28352e+08,2.35449,51.2672,5.9037e+06,1.45241,0.327758,21.7757,901.082,6.89545e+08,494819,452.899,21.7757,21.7742,2.41146,6.04599e+06,494807,458.831,21.7742,94,94,0.93,0,0
0.480705,433.155,9341.48,3.31569e+08,2.3782,51.2856,5.96434e+06,1.46489,0.328151,21.5661,901.082,6.89545e+08,496362,452.899,21.5661,21.5649,2.41642,6.05964e+06,496352,459.32,21.5649,95,95,0.94,0,0
0.484645,436.705,9342.08,3.34285e+08,2.39698,51.2741,6.01234e+06,1.47553,0.328455,21.3922,901.083,6.89545e+08,497292,452.899,21.3922,21.3912,2.41903,6.0671e+06,497283,459.685,21.3912,96,96,0.95,0,0
0.487918,439.655,9342.53,3.36541e+08,2.41394,51.2934,6.05569e+06,1.48429,0.328721,21.2497,901.083,6.89546e+08,498403,452.899,21.2497,21.2489,2.42272,6.07718e+06,498396,460.012,21.2489,97,97,0.96,0,0
0.490461,441.946,9343,3.38294e+08,2.42578,51.2809,6.08594e+06,1.49114,0.328916,21.1406,901.084,6.89546e+08,498921,452.9,21.1406,21.14,2.42412,6.08124e+06,498916,460.226,21.14,98,98,0.97,0,0
0.492312,443.614,9343.42,3.3957e+08,2.43583,51.3025,6.11157e+06,1.49606,0.329073,21.062,901.084,6.89546e+08,499636,452.9,21.062,21.0616,2.42674,6.08822e+06,499633,460.39,21.0616,99,99,0.98,0,0
0.493433,444.625,9343.84,3.40343e+08,2.44062,51.2893,6.12373e+06,1.49901,0.329172,21.0151,901.084,6.89546e+08,499768,452.9,21.0151,21.0149,2.42707,6.08921e+06,499766,460.45,21.0149,100,100,0.99,0,0
0.493832,444.985,9344.26,3.40618e+08,2.44364,51.3138,6.13131e+06,1.5,0.329221,20.9991,901.085,6.89545e+08,500099,452.9,20.9991,20.9989,2.42866,6.09319e+06,500098,460.455,20.9989,101,101,1,0,0
