"beta_max_aux","beta_aux","PI_aux","PI_bar_aux","rhoI_aux","tempI_aux","P_rel_aux","vel_rel_aux","Omega_aux","Aint_aux","ht_liq_aux","ht_gas_aux","EI_liq_aux","EI_gas_aux","mu_max_aux_l","kappa_max_aux_l","mu_aux_l","kappa_aux_l","jump_grad_press_aux_l","jump_grad_alpha_aux_l","jump_grad_dens_aux_l","smooth_jump_grad_press_aux_l","smooth_jump_grad_dens_aux_l","mu_max_aux_g","kappa_max_aux_g","mu_aux_g","kappa_aux_g","jump_grad_press_aux_g","jump_grad_dens_aux_g","smooth_jump_grad_press_aux_g","smooth_jump_grad_dens_aux_g","ObjectId","GlobalElementId","PedigreeElementId"
0.0872847,0.000985376,931063,931067,901.257,453.008,0.0583379,1.08076e+08,0,85088.3,0,0,766409,2.70387e+06,0.0872848,8.16487,0.000125333,0.000125333,471459,0.0501568,11.7302,290430,5.80096,0.0872927,2.7033,0.0036489,0.0036489,471720,1.48383,290490,0.919404,0,19,19
0.0895552,0.00103294,927465,927469,901.256,453.007,0.0583949,1.07864e+08,0,85170.6,0,0,766413,2.70387e+06,0.0895553,8.16713,0.000129325,0.000129325,492294,0.0525961,11.7935,296978,5.83189,0.0895641,2.70312,0.00391304,0.00391304,492524,1.6124,297027,0.968715,0,20,20
0.0920176,0.00113623,923441,923446,901.254,453.006,0.05846,1.07626e+08,0,85264.9,0,0,766418,2.70388e+06,0.0920176,8.16959,0.000133648,0.000133648,499155,0.0538966,11.8641,304027,5.86352,0.0920274,2.7029,0.00431791,0.00431791,499370,1.6977,304063,1.0233,0,21,21
0.0946609,0.00124005,919029,919034,901.253,453.005,0.0585309,1.07364e+08,0,85367.6,0,0,766423,2.70389e+06,0.0946609,8.17222,0.000138274,0.000138274,524285,0.0592414,11.9228,311527,5.89511,0.0946718,2.70258,0.00469352,0.00469352,524458,1.8321,311547,1.08097,0,22,22
0.097518,0.0014094,914100,914106,901.251,453.003,0.0586121,1.0707e+08,0,85485.1,0,0,766428,2.7039e+06,0.0975181,8.17507,0.000143239,0.000143239,531850,0.0623803,11.9873,319490,5.92591,0.0975302,2.70216,0.00516479,0.00516479,532005,1.90309,319491,1.13941,0,23,23
0.100578,0.00156107,908696,908702,901.249,453.002,0.0587005,1.06745e+08,0,85613,0,0,766434,2.70391e+06,0.100578,8.17811,0.000148514,0.000148514,561672,0.0697741,12.036,327839,5.95526,0.100592,2.70162,0.00561043,0.00561043,561771,2.03008,327818,1.19622,0,24,24
0.103876,0.00178592,902661,902669,901.247,453,0.0588011,1.06381e+08,0,85758.7,0,0,766440,2.70392e+06,0.103876,8.1814,0.000154142,0.000154142,569694,0.073494,12.0897,336539,5.98259,0.103891,2.70091,0.00615297,0.00615297,569770,2.0793,336493,1.25017,0,25,25
0.107402,0.00197373,896046,896054,901.244,452.999,0.0589109,1.05978e+08,0,85917.6,0,0,766447,2.70393e+06,0.107402,8.18491,0.000160093,0.000160093,604357,0.0819318,12.125,345484,6.00748,0.107418,2.70003,0.00663747,0.00663747,604360,2.20194,345411,1.30033,0,26,26
0.111191,0.00224145,888664,888673,901.242,452.997,0.0590354,1.05527e+08,0,86097.7,0,0,766455,2.70394e+06,0.111191,8.18868,0.000166419,0.000166419,612482,0.0850919,12.1658,354550,6.02962,0.11121,2.69889,0.00727066,0.00727066,612458,2.23433,354446,1.34669,0,27,27
0.115234,0.00245932,880571,880581,901.239,452.994,0.0591715,1.05027e+08,0,86294.8,0,0,766464,2.70396e+06,0.115234,8.1927,0.000173093,0.000173093,651761,0.0939278,12.1868,363558,6.04886,0.115255,2.69751,0.00779049,0.00779049,651642,2.36385,363417,1.3891,0,28,28
