Tw,area,enthalpy,heat_flux_perimeter,heat_transfer_coefficient,hydraulic_diameter,pressure,rho,rhoA,rhoE,rhoEA,rhoe,rhou,rhouA,temperature,u,GlobalNodeId,PedigreeNodeId,Points:0,Points:1,Points:2
600,0.0001,1.27E+06,0.0354491,10000,0.0112838,6.30E+06,720.054,0.0720054,9.05E+08,90510.3,9.05E+08,1617.66,0.161766,570.047,2.24658,34,34,3.2,0,0
600,0.0001,1.27E+06,0.0354491,10000,0.0112838,6.28E+06,718.152,0.0718152,9.07E+08,90731.1,9.07E+08,1617.67,0.161767,571.548,2.25254,35,35,3.3,0,0
600,0.0001,1.28E+06,0.0354491,10000,0.0112838,6.26E+06,716.359,0.0716359,9.09E+08,90939.1,9.09E+08,1617.67,0.161767,572.969,2.25818,36,36,3.4,0,0
600,0.0001,1.28E+06,0.0354491,10000,0.0112838,6.25E+06,714.658,0.0714658,9.11E+08,91136.4,9.11E+08,1617.67,0.161767,574.324,2.26356,37,37,3.5,0,0
600,0.0001,1.29E+06,0.0354491,10000,0.0112838,6.23E+06,713.055,0.0713055,9.13E+08,91322.3,9.13E+08,1617.67,0.161767,575.606,2.26865,38,38,3.6,0,0
600,0.0001,1.29E+06,0.0354491,10000,0.0112838,6.21E+06,711.531,0.0711531,9.15E+08,91498.9,9.15E+08,1617.68,0.161768,576.829,2.27351,39,39,3.7,0,0
600,0.0001,1.30E+06,0.0354491,10000,0.0112838,6.20E+06,710.096,0.0710096,9.17E+08,91665.2,9.17E+08,1617.67,0.161767,577.985,2.2781,40,40,3.8,0,0
600,0.0001,1.30E+06,0.0354491,10000,0.0112838,6.18E+06,708.73,0.070873,9.18E+08,91823.4,9.18E+08,1617.68,0.161768,579.09,2.2825,41,41,3.9,0,0
600,0.0001,1.31E+06,0.0354491,10000,0.0112838,6.17E+06,707.444,0.0707444,9.20E+08,91972.2,9.20E+08,1617.68,0.161768,580.133,2.28665,42,42,4,0,0
600,0.0001,1.31E+06,0.0354491,10000,0.0112838,6.15E+06,706.219,0.0706219,9.21E+08,92114,9.21E+08,1617.68,0.161768,581.13,2.29062,43,43,4.1,0,0
600,0.0001,1.32E+06,0.0354491,10000,0.0112838,6.13E+06,705.066,0.0705066,9.22E+08,92247.3,9.22E+08,1617.68,0.161768,582.071,2.29436,44,44,4.2,0,0
600,0.0001,1.32E+06,0.0354491,10000,0.0112838,6.12E+06,703.965,0.0703965,9.24E+08,92374.6,9.24E+08,1617.68,0.161768,582.972,2.29796,45,45,4.3,0,0
600,0.0001,1.32E+06,0.0354491,10000,0.0112838,6.10E+06,702.931,0.0702931,9.25E+08,92494.1,9.25E+08,1617.68,0.161768,583.82,2.30134,46,46,4.4,0,0
600,0.0001,1.33E+06,0.0354491,10000,0.0112838,6.08E+06,701.941,0.0701941,9.26E+08,92608.4,9.26E+08,1617.68,0.161768,584.633,2.30459,47,47,4.5,0,0
600,0.0001,1.33E+06,0.0354491,10000,0.0112838,6.07E+06,701.012,0.0701012,9.27E+08,92715.5,9.27E+08,1617.68,0.161768,585.398,2.30764,48,48,4.6,0,0
600,0.0001,1.33E+06,0.0354491,10000,0.0112838,6.05E+06,700.122,0.0700122,9.28E+08,92818.2,9.28E+08,1617.68,0.161768,586.133,2.31057,49,49,4.7,0,0
600,0.0001,1.34E+06,0.0354491,10000,0.0112838,6.03E+06,699.288,0.0699288,9.29E+08,92914.3,9.29E+08,1617.68,0.161768,586.823,2.31333,50,50,4.8,0,0
600,0.0001,1.34E+06,0.0354491,10000,0.0112838,6.02E+06,698.486,0.0698486,9.30E+08,93006.7,9.30E+08,1617.68,0.161768,587.487,2.31599,51,51,4.9,0,0
600,0.0001,1.34E+06,0.0354491,10000,0.0112838,6.00E+06,697.736,0.0697736,9.31E+08,93092.9,9.31E+08,1617.68,0.161768,588.108,2.31847,52,52,5,0,0
0,0.0001,1.34E+06,0.0354491,0,0.0112838,6.00E+06,697.736,0.0697736,9.31E+08,93092.9,9.31E+08,1617.68,0.161768,588.108,2.31847,53,53,5,0,0
0,0.0001,1.34E+06,0.0354491,0,0.0112838,6.00E+06,697.736,0.0697736,9.31E+08,93092.9,9.31E+08,1617.68,0.161768,588.108,2.31847,54,54,5.1,0,0
0,0.0001,1.34E+06,0.0354491,0,0.0112838,6.00E+06,697.736,0.0697736,9.31E+08,93092.9,9.31E+08,1617.68,0.161768,588.108,2.31847,55,55,5.2,0,0
0,0.0001,1.34E+06,0.0354491,0,0.0112838,6.00E+06,697.736,0.0697736,9.31E+08,93092.9,9.31E+08,1617.68,0.161768,588.108,2.31847,56,56,5.3,0,0
0,0.0001,1.34E+06,0.0354491,0,0.0112838,6.00E+06,697.736,0.0697736,9.31E+08,93092.9,9.31E+08,1617.68,0.161768,588.108,2.31847,57,57,5.4,0,0
0,0.0001,1.34E+06,0.0354491,0,0.0112838,6.00E+06,697.736,0.0697736,9.31E+08,93092.9,9.31E+08,1617.68,0.161768,588.108,2.31847,58,58,5.5,0,0
0,0.0001,1.34E+06,0.0354491,0,0.0112838,6.00E+06,697.736,0.0697736,9.31E+08,93092.9,9.31E+08,1617.68,0.161768,588.108,2.31847,59,59,5.6,0,0
0,0.0001,1.34E+06,0.0354491,0,0.0112838,6.00E+06,697.736,0.0697736,9.31E+08,93092.9,9.31E+08,1617.68,0.161768,588.108,2.31847,60,60,5.7,0,0
0,0.0001,1.34E+06,0.0354491,0,0.0112838,6.00E+06,697.736,0.0697736,9.31E+08,93092.9,9.31E+08,1617.68,0.161768,588.108,2.31847,61,61,5.8,0,0
0,0.0001,1.34E+06,0.0354491,0,0.0112838,6.00E+06,697.736,0.0697736,9.31E+08,93092.9,9.31E+08,1617.68,0.161768,588.108,2.31847,62,62,5.9,0,0
0,0.0001,1.34E+06,0.0354491,0,0.0112838,6.00E+06,697.736,0.0697736,9.31E+08,93092.9,9.31E+08,1617.68,0.161768,588.108,2.31847,63,63,6,0,0
