"Tw","area","enthalpy","heat_flux_perimeter","heat_transfer_coefficient","hydraulic_diameter","pressure","rho","rhoA","rhoE","rhoEA","rhoe","rhou","rhouA","temperature","u","GlobalNodeId","PedigreeNodeId","Points:0","Points:1","Points:2"
600,0.0001,998515,0.0354491,10000,0.0112838,6.63403e+06,809.18,0.080918,8.01344e+08,80134.4,8.01342e+08,1617.4,0.16174,507.431,1.99881,12,12,1,0,0
600,0.0001,1.01825e+06,0.0354491,10000,0.0112838,6.61963e+06,801.86,0.080186,8.09875e+08,80987.5,8.09873e+08,1617.44,0.161744,512.056,2.01711,13,13,1.1,0,0
600,0.0001,1.037e+06,0.0354491,10000,0.0112838,6.60506e+06,795.027,0.0795027,8.17838e+08,81783.8,8.17836e+08,1617.46,0.161746,516.449,2.03447,14,14,1.2,0,0
600,0.0001,1.05482e+06,0.0354491,10000,0.0112838,6.59041e+06,788.64,0.078864,8.25281e+08,82528.1,8.25279e+08,1617.49,0.161749,520.624,2.05099,15,15,1.3,0,0
600,0.0001,1.07174e+06,0.0354491,10000,0.0112838,6.57561e+06,782.667,0.0782667,8.32241e+08,83224.1,8.3224e+08,1617.51,0.161751,524.59,2.06666,16,16,1.4,0,0
600,0.0001,1.08783e+06,0.0354491,10000,0.0112838,6.56074e+06,777.072,0.0777072,8.3876e+08,83876,8.38758e+08,1617.54,0.161754,528.359,2.08158,17,17,1.5,0,0
600,0.0001,1.10311e+06,0.0354491,10000,0.0112838,6.54572e+06,771.83,0.077183,8.44865e+08,84486.5,8.44863e+08,1617.54,0.161754,531.939,2.09572,18,18,1.6,0,0
600,0.0001,1.11763e+06,0.0354491,10000,0.0112838,6.53065e+06,766.913,0.0766913,8.50592e+08,85059.2,8.50591e+08,1617.57,0.161757,535.342,2.10919,19,19,1.7,0,0
600,0.0001,1.13142e+06,0.0354491,10000,0.0112838,6.51545e+06,762.3,0.07623,8.55965e+08,85596.5,8.55963e+08,1617.57,0.161757,538.573,2.12196,20,20,1.8,0,0
600,0.0001,1.14453e+06,0.0354491,10000,0.0112838,6.5002e+06,757.966,0.0757966,8.61012e+08,86101.2,8.6101e+08,1617.59,0.161759,541.645,2.13412,21,21,1.9,0,0
600,0.0001,1.15697e+06,0.0354491,10000,0.0112838,6.48482e+06,753.894,0.0753894,8.65751e+08,86575.1,8.65749e+08,1617.59,0.161759,544.562,2.14565,22,22,2,0,0
600,0.0001,1.16881e+06,0.0354491,10000,0.0112838,6.4694e+06,750.064,0.0750064,8.7021e+08,87021,8.70208e+08,1617.61,0.161761,547.334,2.15663,23,23,2.1,0,0
600,0.0001,1.18004e+06,0.0354491,10000,0.0112838,6.45387e+06,746.462,0.0746462,8.74402e+08,87440.2,8.744e+08,1617.61,0.161761,549.967,2.16704,24,24,2.2,0,0
600,0.0001,1.19072e+06,0.0354491,10000,0.0112838,6.4383e+06,743.069,0.0743069,8.7835e+08,87835,8.78349e+08,1617.63,0.161763,552.47,2.17696,25,25,2.3,0,0
600,0.0001,1.20086e+06,0.0354491,10000,0.0112838,6.42263e+06,739.876,0.0739876,8.82065e+08,88206.5,8.82063e+08,1617.63,0.161763,554.845,2.18635,26,26,2.4,0,0
600,0.0001,1.2105e+06,0.0354491,10000,0.0112838,6.40693e+06,736.863,0.0736863,8.85569e+08,88556.9,8.85567e+08,1617.64,0.161764,557.105,2.19531,27,27,2.5,0,0
600,0.0001,1.21965e+06,0.0354491,10000,0.0112838,6.39113e+06,734.027,0.0734027,8.88867e+08,88886.7,8.88865e+08,1617.64,0.161764,559.249,2.20379,28,28,2.6,0,0
600,0.0001,1.22836e+06,0.0354491,10000,0.0112838,6.37531e+06,731.348,0.0731348,8.91982e+08,89198.2,8.9198e+08,1617.65,0.161765,561.289,2.21187,29,29,2.7,0,0
600,0.0001,1.23661e+06,0.0354491,10000,0.0112838,6.3594e+06,728.825,0.0728825,8.94915e+08,89491.5,8.94913e+08,1617.65,0.161765,563.223,2.21953,30,30,2.8,0,0
600,0.0001,1.24447e+06,0.0354491,10000,0.0112838,6.34347e+06,726.438,0.0726438,8.97688e+08,89768.8,8.97686e+08,1617.66,0.161766,565.064,2.22683,31,31,2.9,0,0
600,0.0001,1.25192e+06,0.0354491,10000,0.0112838,6.32745e+06,724.19,0.072419,9.003e+08,90030,9.00299e+08,1617.66,0.161766,566.81,2.23375,32,32,3,0,0
600,0.0001,1.25901e+06,0.0354491,10000,0.0112838,6.31143e+06,722.06,0.072206,9.02773e+08,90277.3,9.02771e+08,1617.66,0.161766,568.472,2.24034,33,33,3.1,0,0
600,0.0001,1.26574e+06,0.0354491,10000,0.0112838,6.29531e+06,720.054,0.0720054,9.05103e+08,90510.3,9.05101e+08,1617.66,0.161766,570.047,2.24658,34,34,3.2,0,0
600,0.0001,1.27214e+06,0.0354491,10000,0.0112838,6.2792e+06,718.152,0.0718152,9.07311e+08,90731.1,9.07309e+08,1617.67,0.161767,571.548,2.25254,35,35,3.3,0,0
600,0.0001,1.2782e+06,0.0354491,10000,0.0112838,6.263e+06,716.359,0.0716359,9.09391e+08,90939.1,9.09389e+08,1617.67,0.161767,572.969,2.25818,36,36,3.4,0,0
600,0.0001,1.28399e+06,0.0354491,10000,0.0112838,6.24681e+06,714.658,0.0714658,9.11364e+08,91136.4,9.11362e+08,1617.67,0.161767,574.324,2.26356,37,37,3.5,0,0
600,0.0001,1.28946e+06,0.0354491,10000,0.0112838,6.23053e+06,713.055,0.0713055,9.13223e+08,91322.3,9.13221e+08,1617.67,0.161767,575.606,2.26865,38,38,3.6,0,0
600,0.0001,1.29468e+06,0.0354491,10000,0.0112838,6.21427e+06,711.531,0.0711531,9.14989e+08,91498.9,9.14987e+08,1617.68,0.161768,576.829,2.27351,39,39,3.7,0,0
600,0.0001,1.29961e+06,0.0354491,10000,0.0112838,6.19792e+06,710.096,0.0710096,9.16652e+08,91665.2,9.1665e+08,1617.67,0.161767,577.985,2.2781,40,40,3.8,0,0
600,0.0001,1.30433e+06,0.0354491,10000,0.0112838,6.1816e+06,708.73,0.070873,9.18234e+08,91823.4,9.18232e+08,1617.68,0.161768,579.09,2.2825,41,41,3.9,0,0
600,0.0001,1.30878e+06,0.0354491,10000,0.0112838,6.16519e+06,707.444,0.0707444,9.19722e+08,91972.2,9.1972e+08,1617.68,0.161768,580.133,2.28665,42,42,4,0,0
600,0.0001,1.31303e+06,0.0354491,10000,0.0112838,6.1488e+06,706.219,0.0706219,9.2114e+08,92114,9.21138e+08,1617.68,0.161768,581.13,2.29062,43,43,4.1,0,0
600,0.0001,1.31705e+06,0.0354491,10000,0.0112838,6.13234e+06,705.066,0.0705066,9.22473e+08,92247.3,9.22471e+08,1617.68,0.161768,582.071,2.29436,44,44,4.2,0,0
600,0.0001,1.32089e+06,0.0354491,10000,0.0112838,6.1159e+06,703.965,0.0703965,9.23746e+08,92374.6,9.23744e+08,1617.68,0.161768,582.972,2.29796,45,45,4.3,0,0
600,0.0001,1.32451e+06,0.0354491,10000,0.0112838,6.09938e+06,702.931,0.0702931,9.24941e+08,92494.1,9.24939e+08,1617.68,0.161768,583.82,2.30134,46,46,4.4,0,0
600,0.0001,1.32798e+06,0.0354491,10000,0.0112838,6.08289e+06,701.941,0.0701941,9.26084e+08,92608.4,9.26082e+08,1617.68,0.161768,584.633,2.30459,47,47,4.5,0,0
600,0.0001,1.33125e+06,0.0354491,10000,0.0112838,6.06633e+06,701.012,0.0701012,9.27155e+08,92715.5,9.27153e+08,1617.68,0.161768,585.398,2.30764,48,48,4.6,0,0
600,0.0001,1.33438e+06,0.0354491,10000,0.0112838,6.0498e+06,700.122,0.0700122,9.28182e+08,92818.2,9.2818e+08,1617.68,0.161768,586.133,2.31057,49,49,4.7,0,0
600,0.0001,1.33733e+06,0.0354491,10000,0.0112838,6.0332e+06,699.288,0.0699288,9.29143e+08,92914.3,9.29141e+08,1617.68,0.161768,586.823,2.31333,50,50,4.8,0,0
600,0.0001,1.34016e+06,0.0354491,10000,0.0112838,6.01663e+06,698.486,0.0698486,9.30067e+08,93006.7,9.30065e+08,1617.68,0.161768,587.487,2.31599,51,51,4.9,0,0
600,0.0001,1.34281e+06,0.0354491,10000,0.0112838,5.99999e+06,697.736,0.0697736,9.30929e+08,93092.9,9.30927e+08,1617.68,0.161768,588.108,2.31847,52,52,5,0,0
