Tw,area,enthalpy,heat_flux_perimeter,heat_transfer_coefficient,hydraulic_diameter,pressure,rho,rhoA,rhoE,rhoEA,rhoe,rhou,rhouA,temperature,u,GlobalNodeId,PedigreeNodeId,Points:0,Points:1,Points:2
600,0.0001,2.87E+06,0.0354491,100,0.0112838,6.10E+06,24.1847,0.00241847,6.33E+07,6328.16,6.33E+07,52.8904,0.00528904,564.034,2.18694,33,33,3.1,0,0
600,0.0001,2.87E+06,0.0354491,100,0.0112838,6.10E+06,24.0967,0.00240967,6.31E+07,6309.11,6.31E+07,52.8904,0.00528904,565.617,2.19492,34,34,3.2,0,0
600,0.0001,2.87E+06,0.0354491,100,0.0112838,6.09E+06,24.012,0.0024012,6.29E+07,6290.71,6.29E+07,52.8906,0.00528906,567.133,2.20267,35,35,3.3,0,0
600,0.0001,2.88E+06,0.0354491,100,0.0112838,6.08E+06,23.9306,0.00239306,6.27E+07,6272.98,6.27E+07,52.8905,0.00528905,568.579,2.21017,36,36,3.4,0,0
600,0.0001,2.88E+06,0.0354491,100,0.0112838,6.08E+06,23.8521,0.00238521,6.26E+07,6255.84,6.26E+07,52.8907,0.00528907,569.964,2.21745,37,37,3.5,0,0
600,0.0001,2.88E+06,0.0354491,100,0.0112838,6.07E+06,23.7765,0.00237765,6.24E+07,6239.29,6.24E+07,52.8907,0.00528907,571.285,2.22449,38,38,3.6,0,0
600,0.0001,2.88E+06,0.0354491,100,0.0112838,6.07E+06,23.7035,0.00237035,6.22E+07,6223.26,6.22E+07,52.8909,0.00528909,572.552,2.23135,39,39,3.7,0,0
600,0.0001,2.88E+06,0.0354491,100,0.0112838,6.06E+06,23.6332,0.00236332,6.21E+07,6207.77,6.21E+07,52.8908,0.00528908,573.759,2.23798,40,40,3.8,0,0
600,0.0001,2.89E+06,0.0354491,100,0.0112838,6.06E+06,23.5652,0.00235652,6.19E+07,6192.74,6.19E+07,52.891,0.0052891,574.917,2.24445,41,41,3.9,0,0
600,0.0001,2.89E+06,0.0354491,100,0.0112838,6.05E+06,23.4996,0.00234996,6.18E+07,6178.2,6.18E+07,52.8909,0.00528909,576.02,2.25071,42,42,4,0,0
600,0.0001,2.89E+06,0.0354491,100,0.0112838,6.05E+06,23.4361,0.00234361,6.16E+07,6164.08,6.16E+07,52.891,0.0052891,577.078,2.25682,43,43,4.1,0,0
600,0.0001,2.89E+06,0.0354491,100,0.0112838,6.04E+06,23.3747,0.00233747,6.15E+07,6150.39,6.15E+07,52.891,0.0052891,578.086,2.26274,44,44,4.2,0,0
600,0.0001,2.89E+06,0.0354491,100,0.0112838,6.04E+06,23.3152,0.00233152,6.14E+07,6137.07,6.14E+07,52.8911,0.00528911,579.053,2.26853,45,45,4.3,0,0
600,0.0001,2.89E+06,0.0354491,100,0.0112838,6.03E+06,23.2576,0.00232576,6.12E+07,6124.15,6.12E+07,52.8911,0.00528911,579.974,2.27414,46,46,4.4,0,0
600,0.0001,2.89E+06,0.0354491,100,0.0112838,6.03E+06,23.2017,0.00232017,6.11E+07,6111.55,6.11E+07,52.8912,0.00528912,580.858,2.27962,47,47,4.5,0,0
600,0.0001,2.90E+06,0.0354491,100,0.0112838,6.02E+06,23.1476,0.00231476,6.10E+07,6099.32,6.10E+07,52.8911,0.00528911,581.699,2.28495,48,48,4.6,0,0
600,0.0001,2.90E+06,0.0354491,100,0.0112838,6.02E+06,23.0949,0.00230949,6.09E+07,6087.37,6.09E+07,52.8912,0.00528912,582.508,2.29017,49,49,4.7,0,0
600,0.0001,2.90E+06,0.0354491,100,0.0112838,6.01E+06,23.0439,0.00230439,6.08E+07,6075.77,6.08E+07,52.8912,0.00528912,583.275,2.29524,50,50,4.8,0,0
600,0.0001,2.90E+06,0.0354491,100,0.0112838,6.01E+06,22.9941,0.00229941,6.06E+07,6064.41,6.06E+07,52.8912,0.00528912,584.015,2.30021,51,51,4.9,0,0
600,0.0001,2.90E+06,0.0354491,100,0.0112838,6.00E+06,22.9458,0.00229458,6.05E+07,6053.36,6.05E+07,52.8912,0.00528912,584.716,2.30505,52,52,5,0,0
0,0.0001,2.90E+06,0.0354491,0,0.0112838,6.00E+06,22.9458,0.00229458,6.05E+07,6053.36,6.05E+07,52.8912,0.00528912,584.716,2.30505,53,53,5,0,0
0,0.0001,2.90E+06,0.0354491,0,0.0112838,6.00E+06,22.9459,0.00229459,6.05E+07,6053.38,6.05E+07,52.8912,0.00528912,584.715,2.30504,54,54,5.1,0,0
0,0.0001,2.90E+06,0.0354491,0,0.0112838,6.00E+06,22.9458,0.00229458,6.05E+07,6053.36,6.05E+07,52.8912,0.00528912,584.716,2.30505,55,55,5.2,0,0
0,0.0001,2.90E+06,0.0354491,0,0.0112838,6.00E+06,22.9459,0.00229459,6.05E+07,6053.38,6.05E+07,52.8912,0.00528912,584.715,2.30504,56,56,5.3,0,0
0,0.0001,2.90E+06,0.0354491,0,0.0112838,6.00E+06,22.9458,0.00229458,6.05E+07,6053.36,6.05E+07,52.8912,0.00528912,584.716,2.30505,57,57,5.4,0,0
0,0.0001,2.90E+06,0.0354491,0,0.0112838,6.00E+06,22.9459,0.00229459,6.05E+07,6053.38,6.05E+07,52.8912,0.00528912,584.715,2.30504,58,58,5.5,0,0
0,0.0001,2.90E+06,0.0354491,0,0.0112838,6.00E+06,22.9458,0.00229458,6.05E+07,6053.36,6.05E+07,52.8912,0.00528912,584.716,2.30505,59,59,5.6,0,0
0,0.0001,2.90E+06,0.0354491,0,0.0112838,6.00E+06,22.9459,0.00229459,6.05E+07,6053.38,6.05E+07,52.8912,0.00528912,584.715,2.30504,60,60,5.7,0,0
0,0.0001,2.90E+06,0.0354491,0,0.0112838,6.00E+06,22.9458,0.00229458,6.05E+07,6053.36,6.05E+07,52.8912,0.00528912,584.716,2.30505,61,61,5.8,0,0
0,0.0001,2.90E+06,0.0354491,0,0.0112838,6.00E+06,22.9459,0.00229459,6.05E+07,6053.38,6.05E+07,52.8912,0.00528912,584.715,2.30504,62,62,5.9,0,0
0,0.0001,2.90E+06,0.0354491,0,0.0112838,6.00E+06,22.9458,0.00229458,6.05E+07,6053.36,6.05E+07,52.8912,0.00528912,584.716,2.30505,63,63,6,0,0
